City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Owando,CG,2022-09-26 03:28:58,-0.4819,15.8999,69.24,97,28,3.06
127,Berlevag,NO,2022-09-26 03:28:58,70.8578,29.0864,41.0,87,1,6.91
128,Karratha,AU,2022-09-26 03:28:58,-20.7377,116.8463,86.32,23,10,20.76
129,Ponta Do Sol,PT,2022-09-26 03:28:59,32.6667,-17.1,70.72,74,24,9.31
130,Lompoc,US,2022-09-26 03:28:59,34.6391,-120.4579,64.54,91,100,8.05
131,Centerville,US,2022-09-26 03:27:26,39.6284,-84.1594,60.66,83,75,5.75
132,Luanda,AO,2022-09-26 03:29:00,-8.8368,13.2343,70.65,86,89,7.43
133,Sinop,TR,2022-09-26 03:29:00,41.7711,34.8709,55.09,51,0,9.17
134,Talnakh,RU,2022-09-26 03:30:00,69.4865,88.3972,25.21,64,50,1.86
135,Pandan,PH,2022-09-26 03:30:01,14.0453,124.1694,86.83,67,98,4.68
136,Cherskiy,RU,2022-09-26 03:30:01,68.75,161.3,36.66,51,9,4.23
137,Richards Bay,ZA,2022-09-26 03:30:02,-28.783,32.0377,69.62,77,2,4.83
138,Malanje,AO,2022-09-26 03:30:02,-9.5402,16.341,63.5,94,43,3.33
139,Brooks,CA,2022-09-26 03:30:03,50.5834,-111.8851,58.03,65,24,0.0
140,Paracuru,BR,2022-09-26 03:30:03,-3.41,-39.0306,80.11,78,1,11.86
141,New Norfolk,AU,2022-09-26 03:30:04,-42.7826,147.0587,62.92,66,67,3.04
142,Mahibadhoo,MV,2022-09-26 03:30:04,3.7833,72.9667,82.29,73,93,14.09
143,Hasaki,JP,2022-09-26 03:30:05,35.7333,140.8333,84.29,67,3,11.77
144,Xicotencatl,MX,2022-09-26 03:30:06,23.0167,-98.8833,74.48,88,89,4.36
145,Phalodi,IN,2022-09-26 03:30:06,27.1333,72.3667,85.6,53,54,10.16
146,Tukrah,LY,2022-09-26 03:30:07,32.5341,20.5791,71.19,68,6,4.56
147,Pisco,PE,2022-09-26 03:22:06,-13.7,-76.2167,59.05,82,0,9.22
148,Sortland,NO,2022-09-26 03:30:07,68.6949,15.4162,55.36,79,11,6.11
149,Iberia,US,2022-09-26 03:30:08,29.9502,-91.7507,82.06,78,0,3.44
150,Airai,TL,2022-09-26 03:22:03,-8.9266,125.4092,81.3,27,84,2.95
151,Mahebourg,MU,2022-09-26 03:30:09,-20.4081,57.7,73.26,88,40,16.11
